id,slope,elevation,rain_mean_year,soil_type,dist_river,rain_forecast_24h,label
471,19,125,2204,Type 1,562,16,0
472,31,1017,2078,Type 1,2896,12,0
473,19,309,0,Type 1,11938,0,0
474,13,221,2045,Type 1,8817,16,0
475,11,1012,2014,Type 2,1156,12,0
476,24,179,1992,Type 1,19352,19,0
477,24,142,2106,Type 1,3593,16,0
478,37,2166,2124,Type 1,8671,12,0
479,22,858,1945,Type 1,1903,10,0
480,35,170,2813,Type 1,2154,19,0
481,12,459,2017,Type 1,452,13,0
482,8,140,2055,Type 1,5657,17,0
483,12,1240,1995,Type 2,935,11,0
484,33,666,2179,Type 1,2629,15,0
485,27,126,0,Type 1,3349,0,0
486,19,179,2170,Type 1,9488,17,0
487,36,417,2249,Type 1,2537,15,0
488,1,124,2272,Type 1,7102,15,0
489,15,1456,2199,Type 1,8904,15,0
490,36,192,2520,Type 1,13841,19,0
491,15,504,2597,Type 1,6808,18,0
492,25,591,1702,Type 1,5148,11,0
493,12,835,0,Type 1,8765,0,0
494,5,230,2269,Type 1,15517,17,0
495,14,192,2113,Type 1,8367,16,0
496,42,830,2214,Type 1,7736,16,0
497,1,104,2245,Type 1,6886,16,0
498,22,230,2542,Type 1,11776,17,0
499,3,1262,2201,Type 2,6997,15,0
500,25,655,2624,Type 1,4902,0,0
